VCASN: 69 ITHR: 51
21 584 172.65 10.99 27.56
21 597 159.93 9.17 27.49
21 622 178.08 9.65 27.57
21 701 170.97 8.82 27.57
21 707 179.05 9.58 27.57
21 723 148.81 9.98 27.37
21 736 201.70 9.68 27.91
21 747 163.85 7.34 27.34
21 768 175.55 10.71 27.81
21 775 144.81 8.71 27.48
21 795 155.17 10.15 28.80
21 802 182.06 6.88 27.76
21 849 190.79 8.82 27.66
21 851 168.23 10.00 27.49
21 864 171.39 12.96 27.90
21 874 169.67 11.30 27.67
21 917 202.72 13.71 27.50
21 970 188.37 10.81 27.38
21 997 180.34 10.85 27.64
21 1013 152.47 8.69 27.34
22 0 183.00 12.25 27.83
22 59 174.76 8.52 27.38
22 61 162.52 7.98 27.38
22 62 146.11 10.85 27.37
22 75 166.92 10.02 27.52
22 93 193.98 7.07 27.71
22 100 192.60 8.79 27.42
22 151 175.93 9.12 27.33
22 152 192.71 11.97 28.81
22 266 173.42 9.93 27.36
22 301 189.00 11.93 27.37
22 336 166.26 9.09 27.53
22 395 165.64 9.45 27.77
22 447 178.56 7.43 27.44
22 466 163.78 9.57 27.57
22 482 194.24 10.04 27.45
22 551 153.07 8.07 27.37
22 561 197.19 11.98 27.52
22 592 201.22 7.73 27.34
22 598 182.44 8.67 27.45
22 600 173.21 10.78 27.47
22 626 158.93 8.87 27.59
22 696 161.57 10.79 27.41
22 791 179.87 9.24 27.40
22 795 188.89 10.63 27.56
22 806 164.32 10.99 27.42
22 841 161.73 9.57 27.57
22 858 191.38 10.50 27.52
22 860 174.58 8.60 27.43
22 861 175.50 11.21 27.65
22 869 110.50 8.55 27.32
22 877 181.08 10.38 27.38
22 892 171.44 9.24 27.69
22 944 190.18 10.03 27.44
22 972 192.78 13.07 27.51
22 1003 159.68 11.36 27.52
23 8 174.65 11.87 27.58
23 72 181.15 10.39 27.54
23 79 191.23 9.64 27.59
23 94 168.35 9.21 27.47
23 101 178.91 8.60 27.56
23 139 158.29 11.69 27.52
23 144 175.71 8.29 27.32
23 159 158.78 8.71 27.54
23 185 189.32 10.85 28.06
23 274 184.98 11.72 27.46
23 318 171.99 9.48 27.58
23 375 174.03 8.67 27.34
23 418 175.80 9.15 27.76
23 452 150.66 10.22 28.04
23 476 192.58 7.22 27.48
23 500 1069.76 10.00 0.01
23 567 170.71 10.33 27.52
23 606 176.01 21.56 30.74
23 661 189.36 9.64 27.35
23 716 172.21 7.03 27.32
23 722 159.60 8.02 27.62
23 767 183.13 9.14 27.47
23 854 185.72 9.77 28.70
23 884 170.45 7.70 27.48
23 998 135.10 11.34 28.15
23 1020 151.49 13.24 27.50
24 4 168.56 8.70 27.36
24 19 189.78 9.12 27.59
24 54 154.36 10.71 27.74
24 81 150.28 9.56 27.46
24 168 190.61 9.58 27.58
24 169 155.13 10.62 27.52
24 181 164.49 9.53 27.33
24 182 157.58 7.13 27.53
24 202 191.97 9.82 27.36
24 232 163.38 9.59 27.38
24 264 180.63 10.53 27.98
24 306 157.69 7.68 27.44
24 351 207.10 10.57 27.82
24 401 158.16 12.21 27.89
24 406 169.77 8.83 27.46
24 408 176.40 9.45 27.40
24 454 158.61 12.24 27.65
24 455 178.02 8.99 27.34
24 475 209.26 9.94 27.59
24 562 168.49 10.25 27.43
24 567 174.48 7.65 27.38
24 604 213.27 7.90 27.42
